Iteration number,Time taken values (seconds),Tweet processing speed values (tweets/second)
1,183.931,13694.885582093284
2,193.416,13023.296935103612
3,198.866,12666.38842235475
4,208.368,12088.775627735546
5,189.81,13270.71281808124
6,202.635,12430.794285291287
7,196.763,12801.766592296315
8,218.387,11534.175569058598
9,197.484,12755.028255453606
10,182.517,13800.98292213876
11,193.074,13046.365642189005
12,183.871,13699.354438709746
13,190.896,13195.216243399549
14,216.174,11652.25235227178
15,190.426,13227.784021089557
16,226.769,11107.841018834144
17,223.783,11256.056090051523
18,194.44,12954.710964822054
19,195.178,12905.7270798963
20,190.476,13224.311724311725
21,192.07,13114.56239912532
22,193.771,12999.437480324714
23,208.007,12109.755921675713
24,190.188,13244.337182156603
25,183.887,13698.16245846634
26,217.223,11595.982009271578
27,187.216,13454.587214767967
28,186.786,13485.561016350262
29,204.228,12333.832775133673
30,201.359,12509.567488912837
31,226.967,11098.150832499878
32,234.324,10749.705535924617
33,184.132,13679.936132774314
34,187.036,13467.535661583866
35,225.071,11191.641748603774
36,189.16,13316.314231338549
37,193.316,13030.033727161745
38,214.374,11750.09096252344
39,204.947,12290.562926024777
40,205.69,12246.166561330157
41,189.32,13305.060215508134
42,214.466,11745.050497514758
43,191.26,13170.103523998745
44,224.335,11228.359373258741
45,213.823,11780.36974506952
46,222.83,11304.196023874701
47,199.424,12630.947127727855
48,185.881,13551.218252537914
49,196.331,12829.935160519735
50,192.047,13116.133029935381
51,184.914,13622.083779486682
52,204.36,12325.866118614209
53,188.237,13381.609354165228
54,204.966,12289.423611720968
55,185.864,13552.457711014506
56,190.579,13217.164535441994
57,211.735,11896.540486929416
58,210.503,11966.166752967893
59,203.637,12369.628309197247
60,215.755,11674.881231025933
61,195.478,12885.920666264234
62,189.818,13270.153515472715
63,198.05,12718.576117142135
64,202.23,12455.68906690402
65,197.818,12733.492402106987
66,186.203,13527.784192521065
67,186.19,13528.72871797626
68,222.383,11326.917974845199
69,190.868,13197.151958421528
70,185.603,13571.515546623707
71,213.869,11777.835965006616
72,182.287,13818.396265230103
73,211.731,11896.76523513326
74,208.824,12062.377887599127
75,183.412,13733.63792990644
76,216.767,11620.37579520868
77,202.381,12446.395659671609
78,201.858,12478.643402788099
79,193.603,13010.717809124859
80,192.396,13092.34079710597
81,192.469,13087.375109757935
82,215.44,11691.951355365763
83,193.846,12994.407932069787
84,193.715,13003.195415946106
85,198.357,12698.891392791784
86,185.625,13569.907070707071
87,228.012,11047.286984895532
88,193.045,13048.325519956488
89,188.16,13387.085459183674
90,191.541,13150.782339029241
91,185.838,13554.353792012398
92,200.421,12568.114119777869
93,204.08,12342.777342218737
94,199.518,12624.996240940667
95,201.389,12507.703995749518
96,187.065,13465.447838986449
97,192.898,13058.26913705689
98,200.491,12563.726052541011
99,188.413,13369.109350204073
100,182.326,13815.440474754012
