Iteration number,Time taken values (seconds),Tweet processing speed values (tweets/second)
1,185.314,13592.680531422344
2,184.553,13648.729633221894
3,215.651,11680.51156730087
4,191.207,13173.754098960813
5,190.57,13217.78873904602
6,198.518,12688.592470204214
7,209.422,12027.934027943578
8,207.714,12126.837863600913
9,190.179,13244.963955010806
10,188.894,13335.066227619724
11,202.06,12466.168464812432
12,187.554,13430.340062062125
13,235.886,10678.522676207998
14,196.146,12842.036034382552
15,238.23,10573.454224908703
16,190.047,13254.163443779697
17,223.928,11248.767460969597
18,186.17,13530.182091636678
19,226.672,11112.594409543304
20,217.969,11556.29470245769
21,196.226,12836.800424000898
22,209.242,12038.28103344453
23,222.437,11324.16819144297
24,187.985,13399.547836263531
25,226.245,11133.56759265398
26,226.644,11113.967279080849
27,199.761,12609.638518029045
28,190.114,13249.492409817267
29,193.118,13043.393158586978
30,198.914,12663.331892174509
31,200.556,12559.654161431221
32,219.116,11495.801310721261
33,183.81,13703.900767096458
34,209.003,12052.047099802396
35,228.826,11007.98860269375
36,193.146,13041.502283246871
37,188.711,13347.997731981706
38,180.883,13925.653599287936
39,188.43,13367.903200127368
40,189.652,13281.768713222113
41,214.977,11717.132530456747
42,188.082,13392.637253963698
43,206.505,12197.835403501125
44,190.435,13227.15887310631
45,231.698,10871.53967664805
46,184.128,13680.23331595412
47,189.709,13277.778070623956
48,198.032,12719.732164498666
49,186.317,13519.507076648937
50,204.536,12315.259905346737
51,214.307,11753.764459397034
52,198.534,12687.569887273718
53,193.29,13031.786434890579
54,196.735,12803.588583627721
55,183.029,13762.376454004558
56,185.894,13550.270584311489
57,207.875,12117.445580276608
58,191.196,13174.512019079897
59,190.707,13208.293350532493
60,226.167,11137.407314064387
61,201.283,12514.29082436172
62,201.482,12501.930693560715
63,221.813,11356.025120258957
64,211.418,11914.378151339999
65,223.914,11249.47077895978
66,200.972,12533.656429751407
67,183.907,13696.672774826406
68,204.969,12289.243739297162
69,201.131,12523.748203906907
70,219.723,11464.043363689736
71,194.874,12925.85978632347
72,212.784,11837.891946762915
73,187.754,13416.033746285033
74,221.258,11384.510390584746
75,220.595,11418.726625716812
76,191.182,13175.476770825706
77,188.202,13384.097937322664
78,222.618,11314.961054362182
79,206.127,12220.204048960106
80,211.048,11935.265911072363
81,196.527,12817.139629669207
82,184.447,13656.573433018699
83,179.952,13997.699386503067
84,195.322,12896.212408228464
85,194.469,12952.779106181448
86,195.176,12905.85932696643
87,188.386,13371.025447750895
88,194.207,12970.253389424686
89,222.005,11346.203914326254
90,188.875,13336.407677035077
91,192.408,13091.52426094549
92,190.416,13228.47869926897
93,201.53,12498.953009477496
94,188.294,13377.55849894314
95,232.399,10838.747154677945
96,197.21,12772.749860554739
97,199.564,12622.086147802209
98,203.656,12368.47428997918
99,198.687,12677.799755394162
100,196.25,12835.230573248407
